age,income,cibil,loan,existing_emi,tenure,property_age,property_value,foir,ltv,loan_to_income,employment_type,city_type,approved
50,191331,672,4293722,6996,9,7,9399027,0.3346,0.4568,1.8701,self_employed,metro,1
62,111927,613,7159824,22904,18,4,7704403,0.7838,0.9293,5.3307,self_employed,non_metro,0
41,207373,831,6332535,16952,10,14,9619541,0.4604,0.6583,2.5447,salaried,non_metro,1
47,47543,781,2820026,15166,26,21,3075512,0.7914,0.9169,4.9429,salaried,metro,1
48,125728,719,5795050,39614,7,24,9479039,1.045,0.6114,3.841,salaried,metro,1
58,186612,665,7433339,20593,13,27,9641043,0.5331,0.771,3.3194,salaried,metro,1
61,228394,638,2777916,13838,18,21,6527511,0.1707,0.4256,1.0136,self_employed,metro,0
25,221962,709,2380584,13702,16,23,5422714,0.1641,0.439,0.8938,self_employed,non_metro,0
35,34701,758,7981351,37777,17,8,8981927,3.2237,0.8886,19.167,salaried,non_metro,0
58,174392,625,3420100,584,14,4,5168762,0.2034,0.6617,1.6343,self_employed,metro,0
59,121768,674,5534590,9489,9,0,7499367,0.6815,0.738,3.7877,self_employed,metro,1
26,22421,685,3858315,22438,8,13,7545071,3.4774,0.5114,14.3404,self_employed,metro,1
31,92832,642,3834532,19554,6,0,3849384,0.945,0.9961,3.4422,self_employed,non_metro,0
28,206567,668,7972909,8278,5,4,9219189,0.832,0.8648,3.2164,self_employed,non_metro,0
32,171051,849,1631678,4161,9,15,6869866,0.151,0.2375,0.7949,salaried,non_metro,1
35,107281,731,4931591,28995,13,26,5809281,0.7581,0.8489,3.8307,self_employed,non_metro,1
53,105938,843,7119594,15381,18,26,9987972,0.7537,0.7128,5.6004,self_employed,metro,0
27,93285,776,3950364,2560,6,6,4732562,0.7803,0.8347,3.5289,self_employed,metro,0
45,121473,643,1053646,23858,23,14,2193375,0.2681,0.4804,0.7228,salaried,non_metro,0
36,121743,826,5370918,12579,27,25,7382233,0.4512,0.7275,3.6764,salaried,non_metro,1
32,124583,832,3839773,33458,9,26,9304197,0.6778,0.4127,2.5684,self_employed,non_metro,1
46,249658,791,6485293,27103,14,20,8074456,0.3735,0.8032,2.1647,self_employed,metro,1
23,174526,709,6758743,19336,26,5,7718328,0.4192,0.8757,3.2272,self_employed,metro,0
44,48199,829,5376673,6238,24,14,6918820,1.0387,0.7771,9.296,salaried,non_metro,1
40,32092,792,6331960,11259,7,16,8856927,3.4755,0.7149,16.4422,self_employed,non_metro,1
31,59019,828,3058397,6991,18,15,4759968,0.5877,0.6425,4.3184,self_employed,metro,1
59,57287,826,6219463,17855,27,8,9799847,1.1676,0.6346,9.0472,salaried,metro,0
56,192575,624,1388415,11388,11,23,7098147,0.1434,0.1956,0.6008,self_employed,non_metro,1
37,204279,665,3823709,27848,7,26,9186637,0.4328,0.4162,1.5598,self_employed,non_metro,1
48,226740,754,5515125,25683,23,6,9139624,0.3142,0.6034,2.027,self_employed,metro,1
39,189253,762,3639233,21199,7,9,6867949,0.4165,0.5299,1.6025,salaried,metro,1
29,25854,658,3938063,22816,22,1,8798885,2.1595,0.4476,12.6933,salaried,metro,0
61,167246,848,5202217,13879,18,30,7553138,0.3646,0.6887,2.5921,salaried,non_metro,1
42,236819,645,5864311,2762,6,22,8372749,0.4519,0.7004,2.0636,self_employed,metro,1
35,100997,674,544735,38824,18,7,1236401,0.4332,0.4406,0.4495,self_employed,non_metro,0
65,231673,639,1091092,10131,6,13,1879439,0.1275,0.5805,0.3925,self_employed,non_metro,1
60,118164,834,3363237,27020,22,3,5161774,0.4673,0.6516,2.3719,self_employed,non_metro,1
32,108374,707,1179799,172,7,8,6068187,0.174,0.1944,0.9072,salaried,non_metro,0
63,138124,763,6909507,37339,14,2,8446721,0.7805,0.818,4.1687,salaried,metro,1
46,54744,636,3665256,21289,14,8,6700239,1.0717,0.547,5.5794,salaried,non_metro,0
59,117923,817,5869658,28780,5,5,9774139,1.2653,0.6005,4.1479,self_employed,non_metro,1
51,103337,645,357553,36336,21,9,9735435,0.3811,0.0367,0.2883,self_employed,metro,1
25,246236,796,1457933,20548,21,14,7656398,0.1339,0.1904,0.4934,self_employed,non_metro,1
34,43785,703,2092105,13591,5,21,5821140,1.2907,0.3594,3.9818,self_employed,non_metro,0
26,69910,651,492343,22712,21,15,7572308,0.3849,0.065,0.5869,self_employed,metro,1
62,47207,796,384473,23796,5,2,9411234,0.6712,0.0409,0.6787,salaried,non_metro,1
59,126273,769,7791755,6324,6,28,7834875,1.1471,0.9945,5.1421,salaried,metro,0
49,93601,742,2687375,32439,19,4,6644807,0.6008,0.4044,2.3926,salaried,metro,0
65,37797,673,1459771,26251,6,27,9878914,1.3812,0.1478,3.2184,self_employed,metro,0
34,68197,661,3288593,13853,27,18,4402556,0.5833,0.747,4.0185,self_employed,metro,1
56,65280,731,5162633,36059,23,30,6719314,1.2057,0.7683,6.5904,self_employed,non_metro,1
55,163293,755,2528900,2782,24,27,5907402,0.1433,0.4281,1.2906,self_employed,metro,0
46,173541,763,6402195,14370,16,20,8799726,0.4349,0.7275,3.0743,self_employed,metro,0
31,52808,781,3807709,25628,15,17,8872377,1.1953,0.4292,6.0087,salaried,metro,0
41,198409,780,6930193,29187,18,13,8124483,0.4634,0.853,2.9107,salaried,metro,1
30,160589,722,7406650,35774,8,9,7823174,0.8866,0.9468,3.8435,self_employed,non_metro,1
23,202948,654,5640059,20400,24,4,6638535,0.327,0.8496,2.3159,self_employed,metro,1
48,190172,608,3467543,9112,24,11,8332883,0.1965,0.4161,1.5195,salaried,non_metro,1
35,97346,636,6070988,10124,23,3,6988714,0.6192,0.8687,5.1971,self_employed,metro,0
27,232401,719,781990,36106,6,23,1057894,0.2152,0.7392,0.2804,self_employed,non_metro,1
25,242490,773,1635197,31096,14,7,5614744,0.197,0.2912,0.5619,salaried,non_metro,1
31,100129,641,5195820,25667,24,15,6872837,0.6793,0.756,4.3243,salaried,non_metro,0
65,112254,721,3052768,11967,11,3,7448961,0.4244,0.4098,2.2663,salaried,metro,1
60,23457,797,3680404,26023,24,27,9664730,2.3883,0.3808,13.075,salaried,metro,0
59,49297,746,2834620,534,7,11,9808744,0.9214,0.289,4.7917,self_employed,metro,0
53,91538,715,4988874,29035,8,0,9629304,1.1016,0.5181,4.5417,salaried,metro,1
62,175347,762,2606951,7641,10,22,6356656,0.2279,0.4101,1.2389,salaried,metro,1
55,54418,634,4421564,717,16,20,6531674,0.7887,0.6769,6.771,self_employed,non_metro,1
47,147222,848,4632845,29434,11,27,5484585,0.5677,0.8447,2.6224,salaried,non_metro,1
37,154238,650,3742562,15667,6,24,9885585,0.533,0.3786,2.0221,self_employed,non_metro,0
55,141145,650,4701094,446,10,29,6492275,0.4161,0.7241,2.7756,self_employed,metro,1
51,54956,781,5062949,26663,28,20,8080923,1.2049,0.6265,7.6773,salaried,non_metro,1
62,31503,625,3566120,33131,12,1,4691139,2.3083,0.7602,9.4333,self_employed,non_metro,0
65,173166,748,5534095,30097,23,9,8483843,0.4378,0.6523,2.6632,self_employed,metro,1
58,64133,762,2738283,39903,14,29,9409859,1.0577,0.291,3.5581,salaried,metro,1
56,120329,620,4148696,10102,28,28,6984634,0.3533,0.594,2.8732,self_employed,non_metro,0
37,49125,602,5834536,21179,15,28,8970627,1.6007,0.6504,9.8974,salaried,metro,1
29,227809,617,5417172,24769,12,24,5437806,0.3727,0.9962,1.9816,salaried,metro,0
60,20626,610,1087659,4888,18,9,7242311,0.7145,0.1502,4.3944,salaried,non_metro,1
25,42792,692,7225407,21988,10,11,9069364,2.6073,0.7967,14.0708,salaried,non_metro,1
29,144115,661,4002280,36608,16,28,4433199,0.5191,0.9028,2.3143,self_employed,metro,0
39,138617,620,6235909,7313,15,12,7186979,0.4958,0.8677,3.7489,self_employed,metro,0
55,129688,802,2825895,33572,18,3,4180550,0.4562,0.676,1.8158,self_employed,metro,1
33,59862,713,5706917,39564,15,7,6821984,1.5997,0.8365,7.9445,salaried,non_metro,0
64,194876,758,5204789,34835,20,29,5918994,0.4105,0.8793,2.2257,salaried,non_metro,1
57,114632,611,1128109,18126,9,16,8627456,0.2888,0.1308,0.8201,salaried,metro,1
41,29764,686,6726809,30594,14,7,9906041,3.333,0.6791,18.8337,salaried,metro,0
42,185163,783,3880173,4059,12,3,6065200,0.2545,0.6397,1.7463,salaried,metro,1
40,98698,742,2558484,13207,10,28,9920288,0.4552,0.2579,2.1602,salaried,metro,1
35,64573,788,1870576,23206,5,4,9268383,0.9537,0.2018,2.414,self_employed,metro,1
65,79328,634,1571585,38635,13,23,5479840,0.6973,0.2868,1.6509,self_employed,non_metro,1
28,122602,751,5543225,7312,10,19,7998284,0.6202,0.6931,3.7678,self_employed,non_metro,1
31,249818,761,3825520,32875,30,24,4420654,0.2493,0.8654,1.2761,self_employed,non_metro,0
27,215043,664,5122963,38046,6,22,9614699,0.6005,0.5328,1.9852,self_employed,metro,0
49,142781,778,6890422,7667,28,4,7581694,0.4307,0.9088,4.0216,self_employed,non_metro,1
64,62731,608,3067735,39397,11,27,4037761,1.1995,0.7598,4.0753,salaried,non_metro,0
61,180100,801,2098786,11693,22,14,6538363,0.1626,0.321,0.9711,salaried,metro,1
42,77112,793,1844189,2159,25,10,8326354,0.2206,0.2215,1.993,self_employed,non_metro,1
41,230300,832,7892181,23588,8,13,9726464,0.5956,0.8114,2.8558,self_employed,non_metro,0
40,206292,624,1064812,37632,8,15,6678367,0.2567,0.1594,0.4301,salaried,non_metro,1
41,187514,825,3334554,10836,15,15,6950996,0.2329,0.4797,1.4819,self_employed,metro,1
26,225150,792,922126,29882,27,23,1745193,0.165,0.5284,0.3413,salaried,non_metro,1
39,84111,722,2637646,20719,18,17,9734648,0.5303,0.271,2.6133,self_employed,metro,0
36,78733,610,6634784,28265,6,6,6819238,1.8572,0.973,7.0225,salaried,non_metro,0
39,68970,758,2498028,21338,25,25,4970966,0.601,0.5025,3.0183,salaried,metro,1
64,97223,824,6304584,29580,18,1,8153124,0.8914,0.7733,5.4039,salaried,non_metro,0
50,138994,840,7281752,6954,13,13,9678534,0.606,0.7524,4.3657,self_employed,metro,1
25,197126,644,3466390,21201,12,7,6776955,0.3027,0.5115,1.4654,self_employed,metro,1
46,69917,633,5359314,14128,5,15,6667563,1.7747,0.8038,6.3877,salaried,metro,0
41,119923,733,5805416,17596,15,27,9081003,0.6234,0.6393,4.0341,salaried,metro,1
23,135856,671,1665287,12459,26,23,2778957,0.1893,0.5992,1.0215,self_employed,non_metro,0
48,112302,822,4494907,20139,25,9,5671883,0.5016,0.7925,3.3354,self_employed,non_metro,1
49,71001,683,1785453,31588,13,20,4432309,0.7117,0.4028,2.0956,self_employed,non_metro,0
55,27974,623,927530,32264,22,9,6450090,1.4313,0.1438,2.7631,salaried,metro,0
50,209609,762,5482405,12591,21,20,8862479,0.283,0.6186,2.1796,salaried,metro,1
28,122170,786,4851779,4607,28,28,7815583,0.348,0.6208,3.3094,self_employed,non_metro,0
58,234367,828,5730586,5571,30,21,7957773,0.2118,0.7201,2.0376,salaried,non_metro,1
44,198216,644,3609371,16262,19,1,4647003,0.2433,0.7767,1.5174,salaried,non_metro,0
47,179621,783,2406763,8576,11,30,9569889,0.2043,0.2515,1.1166,salaried,non_metro,1
65,214119,676,6109078,11704,11,22,7285867,0.3881,0.8385,2.3776,self_employed,metro,1
26,53333,822,6178798,39421,24,3,8443367,1.6834,0.7318,9.6544,self_employed,metro,1
45,117478,825,2881417,29533,26,1,3294494,0.4467,0.8746,2.0439,self_employed,non_metro,0
52,60644,657,7546417,20425,24,5,7957636,1.3511,0.9483,10.3698,self_employed,non_metro,1
39,96088,750,5074096,32962,10,26,9395067,0.9978,0.5401,4.4006,salaried,non_metro,1
31,197103,739,3886066,28659,8,7,5301398,0.4292,0.733,1.643,salaried,non_metro,1
57,101487,663,6784408,3826,22,0,7494327,0.5982,0.9053,5.5708,self_employed,non_metro,0
50,122296,778,1305358,9851,10,21,5175328,0.2129,0.2522,0.8895,self_employed,metro,1
24,170033,606,3995885,9864,10,0,9180993,0.3494,0.4352,1.9584,salaried,metro,1
57,79208,720,606043,9725,27,27,6845532,0.1831,0.0885,0.6376,self_employed,metro,1
34,38263,716,6211548,26991,5,13,7517166,4.036,0.8263,13.5282,salaried,non_metro,0
64,140152,689,7824007,15160,8,0,8655637,0.9116,0.9039,4.6521,self_employed,non_metro,1
34,152923,780,6482841,14728,28,8,8945924,0.4275,0.7247,3.5327,self_employed,metro,1
23,230373,656,3900461,28748,28,5,5803197,0.2571,0.6721,1.4109,salaried,non_metro,1
41,78018,779,4147063,37282,18,16,9877189,0.9592,0.4199,4.4296,salaried,metro,0
62,158745,737,941700,25158,23,19,3565073,0.2075,0.2641,0.4943,salaried,non_metro,0
39,139357,709,2626096,15242,10,13,9447652,0.343,0.278,1.5704,salaried,metro,1
22,44543,762,2244284,35100,6,29,8764899,1.6838,0.2561,4.1987,self_employed,metro,0
59,160149,740,318536,6899,28,14,6609981,0.0586,0.0482,0.1657,self_employed,non_metro,1
33,39560,765,6470500,10332,28,1,6813995,1.539,0.9496,13.6301,salaried,metro,1
32,175513,839,6709248,4460,10,16,8373776,0.4994,0.8012,3.1855,salaried,metro,0
54,215496,727,6275003,23575,9,28,9221774,0.4961,0.6805,2.4266,salaried,metro,0
21,98864,817,5914179,21528,15,14,7009782,0.8068,0.8437,4.9851,salaried,metro,1
62,235785,790,1151770,36599,12,17,2424705,0.2094,0.475,0.4071,salaried,non_metro,1
60,209938,704,7177836,33185,9,15,8275153,0.6121,0.8674,2.8492,salaried,non_metro,1
45,230226,725,3768292,9908,28,1,8663203,0.1709,0.435,1.364,self_employed,non_metro,1
24,235059,610,7822219,33749,13,30,9701557,0.4967,0.8063,2.7731,salaried,metro,1
33,28343,825,7117522,35220,13,0,8429367,3.9075,0.8444,20.9267,salaried,non_metro,1
64,188464,734,1415768,27898,26,1,3528347,0.2079,0.4013,0.626,salaried,non_metro,1
46,96648,716,967836,37133,12,21,9376994,0.4954,0.1032,0.8345,self_employed,non_metro,1
30,58360,804,4078743,12879,24,3,6943049,0.7903,0.5875,5.8241,self_employed,non_metro,0
41,35334,672,7040780,39536,23,9,7175021,2.765,0.9813,16.6053,self_employed,non_metro,1
31,246839,632,4718200,23747,21,6,8060105,0.2591,0.5854,1.5929,self_employed,metro,0
37,156501,845,2790927,6668,9,4,9312208,0.2794,0.2997,1.4861,salaried,non_metro,1
34,224133,624,7167462,4275,23,11,8005207,0.2832,0.8953,2.6649,self_employed,non_metro,1
54,148902,819,2937104,12065,18,14,9168826,0.2596,0.3203,1.6438,salaried,non_metro,1
26,80303,717,4892177,38206,18,19,4934704,1.0274,0.9914,5.0768,self_employed,non_metro,0
56,212136,648,1385992,31047,10,6,7947242,0.2274,0.1744,0.5445,salaried,non_metro,1
65,53456,710,6676702,11713,14,19,7171398,1.493,0.931,10.4084,salaried,metro,0
40,85422,848,1123043,11275,9,20,2694589,0.3066,0.4168,1.0956,self_employed,metro,1
28,181292,702,930985,17923,24,13,6684413,0.1407,0.1393,0.4279,self_employed,non_metro,1
32,186701,643,5879914,17127,5,17,9738204,0.7379,0.6038,2.6245,salaried,metro,0
39,189758,831,2697820,35859,14,27,4701537,0.334,0.5738,1.1848,salaried,non_metro,1
21,73610,807,4455364,17015,16,23,5576542,0.8089,0.7989,5.0439,salaried,non_metro,1
43,83291,719,5712276,29332,10,28,8233723,1.2025,0.6938,5.7152,self_employed,non_metro,0
39,56982,820,7530500,36373,15,23,8187671,1.9397,0.9197,11.013,self_employed,non_metro,0
55,195941,654,1000043,33097,24,17,6311056,0.2105,0.1585,0.4253,salaried,non_metro,0
25,36305,826,7230817,18992,18,26,7313723,2.3265,0.9887,16.5974,self_employed,metro,1
58,27828,612,7149912,3209,11,3,8175856,3.1179,0.8745,21.411,self_employed,non_metro,0
64,181513,649,3024406,18664,29,12,3108156,0.2319,0.9731,1.3885,salaried,non_metro,0
21,82442,683,997432,10883,23,24,7637272,0.232,0.1306,1.0082,salaried,metro,0
47,44454,642,2532654,425,19,19,9579102,0.514,0.2644,4.7477,self_employed,non_metro,1
47,66942,724,4923931,30495,6,23,9829908,1.7632,0.5009,6.1296,self_employed,metro,0
52,239223,839,1380785,30658,22,13,6555456,0.1765,0.2106,0.481,salaried,metro,1
41,242075,618,402998,2220,11,18,8238910,0.0286,0.0489,0.1387,salaried,non_metro,1
29,246711,717,6388180,39188,21,5,9602223,0.3795,0.6653,2.1578,self_employed,metro,1
43,141076,728,1754211,33646,25,11,9421242,0.3386,0.1862,1.0362,salaried,non_metro,1
29,100110,684,4997396,19958,21,30,5758642,0.6248,0.8678,4.1599,salaried,non_metro,1
26,129863,608,4564225,36868,10,24,7152377,0.7197,0.6381,2.9289,salaried,metro,1
61,217260,603,3668929,33164,15,5,8260572,0.3189,0.4441,1.4073,self_employed,non_metro,1
50,123122,785,4468819,19717,13,3,6518638,0.5453,0.6855,3.0247,self_employed,metro,1
31,243888,612,4418839,23125,23,21,8762633,0.2445,0.5043,1.5099,salaried,non_metro,1
35,80865,788,6412785,22497,13,9,6831878,1.1197,0.9387,6.6085,salaried,metro,0
61,91544,627,6299653,29794,21,14,7462900,0.9119,0.8441,5.7346,salaried,non_metro,0
49,119849,695,6691844,10922,6,16,9176310,1.0838,0.7293,4.653,self_employed,non_metro,0
32,101761,605,1613283,26792,25,23,2004551,0.3909,0.8048,1.3211,salaried,non_metro,1
27,74577,826,3088476,12356,12,5,4997491,0.6254,0.618,3.4511,self_employed,non_metro,0
31,105026,671,4847330,16685,28,27,7618933,0.5194,0.6362,3.8461,salaried,non_metro,1
45,39170,696,5162833,27167,21,11,5378581,1.8169,0.9599,10.9838,salaried,metro,0
51,196137,714,4748085,3079,13,2,7145814,0.2726,0.6645,2.0173,self_employed,non_metro,1
29,59557,623,2510135,18314,5,9,5892366,1.1722,0.426,3.5122,self_employed,metro,1
41,249908,709,7803996,35808,28,20,7822669,0.3872,0.9976,2.6023,salaried,non_metro,1
53,77378,650,2500666,29188,23,13,8675238,0.6442,0.2883,2.6931,self_employed,metro,0
32,144057,641,4536181,38333,12,29,5451236,0.6156,0.8321,2.6241,self_employed,non_metro,0
39,55655,765,3279090,213,5,11,9746642,1.2126,0.3364,4.9098,salaried,non_metro,0
53,31539,678,7428912,36391,15,5,9792797,3.4734,0.7586,19.6289,self_employed,metro,1
48,124302,830,3936308,12747,20,2,4555027,0.3774,0.8642,2.6389,salaried,metro,1
51,193421,752,7794001,25580,21,29,9610548,0.4757,0.811,3.358,self_employed,non_metro,0
24,161260,729,5628970,11880,5,14,9162280,0.7898,0.6144,2.9088,self_employed,metro,1
31,204547,617,709683,11034,14,18,6843007,0.0893,0.1037,0.2891,salaried,metro,1
25,125257,683,6558621,6513,19,24,9739726,0.5156,0.6734,4.3634,salaried,metro,0
38,53040,702,6397755,108,20,20,9172814,1.0488,0.6975,10.0518,self_employed,non_metro,1
52,206271,727,2001359,12829,15,6,3926673,0.1577,0.5097,0.8085,self_employed,metro,0
50,106627,801,6461007,22022,29,10,7733751,0.676,0.8354,5.0495,self_employed,metro,1
32,55017,688,2267357,28502,6,0,3917437,1.2507,0.5788,3.4343,salaried,non_metro,1
24,159760,840,6127743,21498,18,19,8415323,0.4819,0.7282,3.1963,salaried,non_metro,1
26,180950,711,2374378,8414,6,21,6188262,0.2798,0.3837,1.0935,salaried,metro,1
29,89937,790,5738432,39600,15,21,6856611,1.0686,0.8369,5.3171,self_employed,metro,0
55,31325,615,871332,38559,6,19,2563962,1.7255,0.3398,2.318,salaried,non_metro,1
46,189293,671,4537092,1942,6,20,9780973,0.4364,0.4639,1.9974,salaried,metro,1
42,248599,828,7792993,33233,29,29,9516339,0.3766,0.8189,2.6123,salaried,non_metro,1
40,117997,845,3400699,31452,6,10,9847918,0.7789,0.3453,2.4017,self_employed,non_metro,0
44,243155,845,4663106,20180,30,20,4864272,0.2305,0.9586,1.5981,self_employed,metro,1
54,184044,645,6382484,27591,5,13,7542606,0.8614,0.8462,2.8899,self_employed,non_metro,0
28,124829,695,2713111,3401,5,5,3155040,0.4732,0.8599,1.8112,self_employed,metro,1
35,81165,603,4304200,29559,18,29,7646601,0.8444,0.5629,4.4192,self_employed,metro,1
22,100057,701,5825350,33106,9,0,6004162,1.104,0.9702,4.8517,self_employed,non_metro,0
52,144288,644,7034478,25528,21,15,7584402,0.5924,0.9275,4.0628,salaried,metro,1
36,94183,718,1206197,457,30,14,9034775,0.1033,0.1335,1.0672,self_employed,non_metro,1
48,236136,786,5896399,11359,20,29,6844011,0.2648,0.8615,2.0809,self_employed,non_metro,1
39,178376,732,3678417,5895,21,29,6851569,0.2088,0.5369,1.7185,self_employed,metro,0
23,64114,743,7404574,29149,8,27,9868796,2.1168,0.7503,9.6242,self_employed,metro,1
47,37713,605,5204929,9667,24,23,9659102,1.3813,0.5389,11.5012,self_employed,metro,0
46,246105,838,6606449,17594,22,25,9950413,0.2966,0.6639,2.237,salaried,non_metro,1
39,85489,787,3359711,9572,9,29,8573501,0.6338,0.3919,3.275,self_employed,non_metro,0
24,143367,752,6009706,39819,10,15,9045073,0.7975,0.6644,3.4932,self_employed,non_metro,1
58,61851,774,4905511,21331,25,11,6245487,0.9835,0.7854,6.6093,self_employed,non_metro,1
64,146678,850,5427467,7019,18,20,5646024,0.3829,0.9613,3.0835,self_employed,non_metro,0
39,207022,648,3101911,12649,17,20,4985571,0.2002,0.6222,1.2486,salaried,metro,0
34,161624,711,938466,37856,28,0,7447626,0.2796,0.126,0.4839,salaried,metro,1
54,69604,645,7626939,28627,15,15,9080699,1.4903,0.8399,9.1313,salaried,non_metro,0
39,42404,847,520112,8399,9,25,3022909,0.361,0.1721,1.0221,salaried,non_metro,1
49,113350,738,3514856,20774,12,14,6573842,0.5275,0.5347,2.5841,salaried,metro,1
22,221857,616,7302040,24021,13,21,7874442,0.4575,0.9273,2.7428,self_employed,non_metro,0
45,218227,739,6335744,26042,7,5,8844210,0.5791,0.7164,2.4194,salaried,non_metro,1
43,163585,729,3414314,21128,19,30,9648638,0.314,0.3539,1.7393,self_employed,non_metro,1
45,185327,823,3526969,5635,13,7,4739882,0.2324,0.7441,1.5859,self_employed,metro,1
45,145081,681,4689078,8809,5,6,8152886,0.7238,0.5751,2.6934,self_employed,metro,0
60,109557,627,6481522,2218,20,20,7454434,0.5337,0.8695,4.9301,salaried,non_metro,0
52,68285,823,7585365,21600,20,1,7929621,1.2803,0.9566,9.257,self_employed,non_metro,0
37,82818,677,4355692,26796,10,6,8740994,0.9756,0.4983,4.3828,salaried,metro,1
23,77314,795,5000341,27608,11,1,6793729,1.1129,0.736,5.3896,salaried,metro,0
61,211804,600,6196357,9883,28,7,7994063,0.2752,0.7751,2.4379,salaried,non_metro,1
39,230085,635,6920818,169,10,6,9634234,0.3737,0.7184,2.5066,self_employed,non_metro,1
58,124392,724,7705493,709,23,30,8594951,0.5174,0.8965,5.1621,self_employed,metro,0
50,172800,790,5747206,36911,20,21,7354318,0.5022,0.7815,2.7716,self_employed,non_metro,1
44,33882,796,6223072,36623,8,21,6803169,3.7243,0.9147,15.3057,salaried,metro,0
41,91176,648,2402235,27360,6,19,9104987,0.7685,0.2638,2.1956,salaried,metro,0
27,134303,798,301983,29581,7,4,2856903,0.2559,0.1057,0.1874,self_employed,non_metro,0
41,220752,607,5077907,27407,19,28,9048628,0.3278,0.5612,1.9169,self_employed,non_metro,1
45,211636,701,5211866,26433,16,5,9907048,0.36,0.5261,2.0522,self_employed,non_metro,1
56,215516,816,2793364,20744,25,5,9124059,0.2006,0.3062,1.0801,salaried,non_metro,1
61,94796,740,2961341,16876,13,7,4111569,0.5095,0.7202,2.6033,salaried,metro,1
28,120054,708,4255602,15509,19,25,4649645,0.4431,0.9153,2.9539,salaried,non_metro,0
57,116902,730,1294215,10012,21,21,9542244,0.18,0.1356,0.9226,salaried,metro,1
49,202257,799,6564817,9656,7,30,9281384,0.5618,0.7073,2.7048,self_employed,non_metro,1
52,40662,835,2957585,23613,19,7,7709202,1.2248,0.3836,6.0613,salaried,metro,1
24,220258,808,1634796,20306,17,24,7258463,0.1611,0.2252,0.6185,salaried,metro,1
48,225416,600,5799133,36487,21,20,7527682,0.3811,0.7704,2.1439,salaried,non_metro,1
58,220435,710,6781997,27813,26,0,7110009,0.3712,0.9539,2.5639,self_employed,metro,0
52,199710,674,7527700,10921,8,18,8373686,0.5972,0.899,3.1411,salaried,metro,1
39,152369,803,4016284,26787,17,24,9218129,0.4205,0.4357,2.1966,self_employed,non_metro,1
44,205098,826,2403350,15995,15,30,6021474,0.1934,0.3991,0.9765,salaried,metro,1
50,222393,775,4155628,1792,8,14,8854843,0.277,0.4693,1.5572,self_employed,non_metro,1
36,211079,819,1863494,34550,15,11,5272448,0.2506,0.3534,0.7357,salaried,non_metro,1
52,114508,699,4296067,15015,10,7,5948606,0.5963,0.7222,3.1265,salaried,metro,1
53,186380,831,4867286,28002,8,24,8999604,0.5261,0.5408,2.1762,self_employed,metro,1
52,90279,742,705453,38015,14,23,8118988,0.5008,0.0869,0.6512,salaried,metro,1
31,72137,809,329174,10425,16,19,4895203,0.1881,0.0672,0.3803,self_employed,metro,1
53,158908,623,5462958,18371,28,29,6112107,0.3842,0.8938,2.8648,salaried,non_metro,1
52,48596,729,7203745,423,17,25,7635816,1.3848,0.9434,12.3531,salaried,non_metro,1
47,114849,830,5817800,6837,24,15,6746395,0.4724,0.8624,4.2213,self_employed,metro,1
47,104925,789,1649891,32272,8,9,9245145,0.5339,0.1785,1.3104,self_employed,metro,1
33,125482,669,7593795,12166,20,3,9918655,0.6221,0.7656,5.0431,salaried,non_metro,1
56,52385,678,2233824,26110,23,20,4549464,0.8507,0.491,3.5535,self_employed,non_metro,0
